"Opportunity Name";"Opportunity Owner: Department";"Account Owner Department";"Last Stage Change Date";"Description";"Comment";"Comment Sales";"Lost Reason";"Opportunity Owner";"Lost Reason 1";"Lost Reason 2";"Lost Reason 3"
"Carpoint GbR - An & Verkauf aller Marken - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.07.2026";"29.07. - Herr Kuper erreicht. Zum LMP aufgekl�rt. Er sagte das er gar keine Lust mehr hat irgendetwas neues zu integrieren. Er will eh bis zu seiner Rente nichts mehr �ndern und so bleiben wie er ist. Er meinte noch das sich die Jugend in 3 Jahren damit rumschlagen kann und hat dann das Gespr�ch beendet.";"";"";"";"Stefan P�lzig (AWF)";"Not a priority / low relevance perceived";"";""
"Autohaus Bulenda GmbH & Co. KG - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"10.09.2026";"";"";"Im Mai zu LMS Webinar eingeladen, lt. Q2 target list am Webinar teilgenommen 03.09. nochmalige anfrage zu LMS - kein Interesse";"";"Ralf Landmann (AWF)";"Already have a process/tool";"";""
"AS AUTOWELT - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"07.09.2026";"07.09 Feierabendszeit: H�ndler hat sich nicht gemeldet, auch nicht auf Deadline hin. Lost.

HD erneut kontaktiert, Deadline gesetzt. Falls er nicht antwortet stelle ich am 07.09.2026 auf LOST. RP 03.09.2026

28.08.: Mail erneut raus

27.08.: Weiterhin keine R�ckmeldung

25.08.: Tel. erreicht / Mailadresse abgeglichen, Mail erneut raus | Kontakt statt fand, neue 10 Tage auf seine Zeit hinzugekommen zu antworten bis Dienstag, 08.09.

24.08.: Erneuter Kontaktversuch f�r Daten und ein Termin f�r das Onboarding

20.08.: Kontaktiert zwecks Daten und Termin zum Onboarden";"";"Mit Herrn Salim gesprochen. Registration gesendet. Heute um 12.00 Uhr wieder anrufen. Sein Sohn k�mmert sich um das Thema.";"";"Saskia Willmeroth (AWF)";"Contact not reachable";"";""
"T.K.Autohandel - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"27.08.2026";"";"";"am 10.08 mit Herrn Ozmanyan gesprochen, kein Interesse an LMS,";"Er ist zufrieden mit seinem aktuellen Handling und braucht keine zus�tzliches Tool";"Ralf Landmann (AWF)";"Other";"";""
"A&N KFZ-Handel - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"05.08.2026";"";"";"H�ndler hat von Interner IT erstelltes Firmeninternes LMS�";"";"Marco Elsaesser (AWF)";"Already have a process/tool";"";""
"L�bkemann + Sievers GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"20.08.2026";"";"";"20.8. Nutzen bereits ein LMS vom Hersteller, das sie nehmen m�ssen. Daher kein Interesse.";"H�ndler nutzt bereits ein LMS vom Hersteller. Sie sind dazu verpflichtet, dieses zu verwenden. Daher hat er kein Interesse an dem Angebot von mobile.";"Salma Karachouli (AWF)";"Already have a process/tool";"";""
"Top Cars Cronenberg - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"14.08.2026";"";"";"Der H�ndler ist nicht f�r den LMP geeignet (hat stets durchschnittlich unter 40 FZ online).";"";"Samuel Hoffmann Kather (AWF)";"Not the right person";"";""
"Fahrzeughaus M�ller GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"14.08.2026";"";"";"Herr Steffen Dre�ler erreicht. Er hatte direkt eine R�ckfrage zu dem LMP. Habe ihm erkl�rt, wie dieser funktioniert. Er dachte, dass es sich dabei um den Lead Manager im HB handelt. Ist daran nicht interessiert, da er schon mit einem externen LMS arbeitet.";"";"Samuel Hoffmann Kather (AWF)";"Already have a process/tool";"";""
"Geth�ffer Nutzfahrzeuge - Stefan Geth�ffer e.K. - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"27.08.2026";"";"";"";"Habe nacheinander zwei Personen zu LMS beraten: Entscheider Herrn Brinkmann und der Ansprechpartner f�r mobile Herrn Salzmann. Beide �u�erten sich ablehnend gegen�ber einem neuen Leadsystem. Hauptargument: Sie regeln alles �ber Mails, das habe sich bew�hr";"Salma Karachouli (AWF)";"Too much effort / change resistance";"";""
"Danijel's Automobile - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"10.09.2026";"";"";"13.08. Kein Interesse an LMP, m�chte alles selbst per email machen";"";"Marco Elsaesser (AWF)";"Already have a process/tool";"";""
"E.W.O.Autohandel - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"01.09.2026";"";"";"Mit AP gesprochen, ist nicht interessiert da er darin �berhaupt keinen Mehrwert sieht. Seiner Aussage nach hat er haupts�chlich Export-Kunden und ben�tigt ein solches System nicht. Versucht ihm die Vorteile zu nennen die auch den Export betreffen, wollte dennoch nicht am Webinar teilnehmen bzw. hat kein Interesse gezeigt";"";"Artur Folgmann  (AWF)";"Not a priority / low relevance perceived";"";""
"EYC Global Car - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"07.09.2026";"07.09.: Kontaktversuche mehrfach seit dem 24.08. - keinerlei aktive R�ckmeldung, auch nach Zusicherung ""dass der Sohn sich k�mmert ab Anfang September"" kam nichts - Lost.

Nochmal per E-mail kontaktiert ggf �ber Lost Datum nachdenken // RP 03.09.2026

28.08.: Tel. erreicht, der Sohn k�mmert sich darum und dieser ist erst ab dem 31.08. wieder da, melde mich entsprechend kommenden Montag wieder

27.08.: Auch telefonisch nicht zu erreichen / Erneute Mail raus

24.08.: Erneuter Versuch Kontaktaufnahme zwecks Daten & OB Termin

20.08.: Kontaktiert zwecks Daten & Termin Onboarding";"";"Webinar am 20.08.26 um 14.00 Uhr";"";"Saskia Willmeroth (AWF)";"Contact not reachable";"";""
"Autostatt Stahl - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"17.08.2026";"06.08. - Soll Montag NM anrufen.
10.08. - Nicht erreicht
17.08. - Herr Stahl erreicht. Zum LMP aufgekl�rt. Er sagte das er sowas nicht m�chte. Er glaubt das ihm das Tool keinen Mehrwert bietet und er m�chte sowieso lieber altmodisch weiterarbeiten. M�chte in seiner Struktur nichts �ndern.";"";"";"";"Stefan P�lzig (AWF)";"Not a priority / low relevance perceived";"";""
"Motorrad-Technik Kiel GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"28.07.2026";"";"";"Bei der WM-Vermarktung den LMP angesprochen. Aktuell hat er kein Interesse daran, wird sich aber bei Bedarf melden.";"";"Samuel Hoffmann Kather (AWF)";"Not a priority / low relevance perceived";"";""
"Automobile Akbari - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"12.08.2026";"";"";"28.07.2026 nicht erreicht. 30.07.2026 nicht erreicht. 11.08.2026 H�ndler war bei der Begr��ung sehr kurz angebunden und wiederholte mehrfach kein Interesse zu haben, ohne jegliche Begr�ndung.";"";"Christoph Krausse (AWF)";"Not a priority / low relevance perceived";"";""
"Autohaus Glanz - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"06.08.2026";"";"";"Ali Parlak ist bis Ende des Monats im Urlaub, im August wieder anrufen. 
 6.8. erreicht, H�ndler m�chte sich nicht in neues System einarbeiten. Lehnt auch ab, sich im Webinar �ber das Produkt zu informieren.";"H�ndler m�chte sich nicht in neues System einarbeiten. Lehnt auch ab, sich im Webinar �ber das Produkt zu informieren. H�ndler hat sich hinsichtlich neuer, moderner Produkte selbst als ""oldschool"" bezeichnet.";"Salma Karachouli (AWF)";"Too much effort / change resistance";"";""
"Reisemobile Uwe Gante - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"11.09.2026";"Hab den HDL wieder Offline genommen da die Chefetage sich gegen das System entscheiden hat ihnen ist es wohl zu Umst�ndlich Feedback mail erhalten wir auch noch CK 11.09

Live-Schaltung Mobile erfolgreich zwecks Truckscout und Autoscout meldet sich der HDl in dieser Woche erneut CK 07.09 

HDL benutzt kein DMS System CK 10.09

Anfrage zwecks DMS System ist raus 13968418 CK 09.09

Live-Schaltung voraussichtlich am 07.09 um 13 Uhr siehe Case 13918939 CK 03.09

Bei HDL angefragt zwecks der Live-Schaltung 13918939  CK 26.08

erneute Anfrage zwecks Live Gehen am 26.08 CK 21.08

Onboarding am 13.08.2026 um 10 Uhr CK 06.08

Onboarding erfolgreich Zwecks Live-Schaltung meldet sich der HDL nochmal �ber Intercom er m�chte in den n�chsten 2 Wochen  erstmal alles im System einrichten und Testen. CK 13.08


Upload Settings: API-User";"";"";"HDL Teilt mit das die Chefetage sich dagegen entschieden hat da ihnen das System zu Kompliziert Herr Mala selber will das System er schreibt uns auch noch ein Feedback dazu";"Christian Klemm (AWF)";"Other";"";""
"Auto Mivex GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"06.08.2026";"";"";"Mit Herr Milosevic gesprochen m�chte erst mal nicht in einem Webinar teilnehmen oder mobee umsetzen, wenn w�rde er von sich aus auf uns zukommen. Eine bedingte Interesse war hier vorhanden, da er seines Alters entsprechend auf alte Prozesse legt. 
 Ich habe Ihn entsprechend auf Lost gesetzt, weil er auch meinte Online m�chte er nicht an webinaren teilnehmen.";"Wenig Online Affin und kann sich mit Webinaren nicht indendifizieren auch war kein gro�es Interesse da, dass man dies h�tte andester L�sen k�nnen";"Eren Kaya (AWF)";"Other";"";""
"�res Autocenter Gmbh&Co Kg - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"14.08.2026";"";"";"13.08. Nicht erreicht 14.08. Kein Interesse, behandelt leads lieber selbst �ber whatsapp und telefon";"";"Marco Elsaesser (AWF)";"Too much effort / change resistance";"";""
"Autohaus Betzmeir GmbH - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"13.08.2026";"";"";"AP am 11.08. wieder im Haus, RR eingetragen 13.08. wenig und leads und wenig verk�ufer, daher kein interesse";"";"Marco Elsaesser (AWF)";"Not a priority / low relevance perceived";"";""
"C.C Automobile  Berlin - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.07.2026";"";"";"24.07. 14:00 nicht erreicht 29.07. 16:20 Herr Feliz erreicht, er hat kein interesse am LMP, da er einen festen Kundenstamm hat, die er sowieso direkt kennt, da braucht er kein Lead Management System.";"";"Marian Leue (AWF)";"Solution / Fit";"";""
"Belli Automobile KFZ-Meisterbetrieb - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"04.08.2026";"23.07. - Nicht erreicht
27.07. - Nicht erreicht
28.07. - Nicht erreicht
30.07. - Nicht erreicht
31.07. - Nicht erreicht
03.08. - Nicht erreicht
04.08. - Nicht erreicht";"";"";"";"Stefan P�lzig (AWF)";"Contact not reachable";"";""
"Autohaus G. R�ttering - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"10.09.2026";"";"";"Ein Leadsystem m�ssen sie vom Hersteller nutzen. Wenn die Leads dort nicht innerhalb von 24 Stunden bearbeitet wurden, bekommen sie ""Strafgeb�hren"", kann im Jahr bis zu 60.000 Euro weniger sein.";"H�ndler hat keine Verwendung f�r das Angebot von mobile, da sie verpflichtet sind, das Leadsystem vom Hersteller zu nutzen. Wenn sie dies nicht verwenden bzw. die darin einlaufenden Leads nicht in 24 Stunden bearbeiten, gibt es Sanktionen vom Hersteller.";"Salma Karachouli (AWF)";"Already have a process/tool";"";""
"A.G. Automobile - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"18.08.2026";"";"";"scheint Interesse vorhanden - hat Link - noch nicht eingetragen - ne / eingetragen / haben Morgen Termin f�r den EFB. / Findet das System echt gut und interessant, jedoch nur sein Vater und er im Verkauf. Er meint es hat zu viele Funktionen f�r ihn, so mehr aufwand und sein vater kommt wohl mit dem System nicht klar und m�chte es nur ungern bedienen.";"";"Aaron Haupt  (AWF)";"Decision Process";"";""
"Autozentrum Aktienstrasse - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"01.09.2026";"";"";"Herr Stein m�chte nichts kaufen. Er ist nur interessiert daran zu verkaufen. Keine Zeit f�r Lead Management Systeme 
 Er hat kein Interesse am LMP";"";"Marian Leue (AWF)";"No time / capacity right now";"";""
"Stefan_e Autoservice - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"13.08.2026";"";"";"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 nicht erreicht. 12.08.2026 nicht erreicht. 13.08.2026 kein Interesse, m�chte nicht noch abh�ngiger von mobile.de werden.";"";"Christoph Krausse (AWF)";"Prefers async info";"";""
"Autohaus Becker - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"05.08.2026";"";"";"05.08.2026: Herr Becker ist eine One Man Show und braucht kein Lead Management System";"Ist eine One Man show und braucht kein System was seine Leads Managed";"Marian Leue (AWF)";"Other";"";""
"G&B Automobile GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"19.08.2026";"";"";"";"Habe den H�ndler �ber das neue LMS beraten, H�ndler lehnt eine �nderung seiner bisherigen Routinen kategorisch ab und ist auch nicht bereit, das n�her zu begr�nden.";"Salma Karachouli (AWF)";"Too much effort / change resistance";"";""
"Thomas J�nger Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"17.08.2026";"31.07. - Nicht erreicht
03.08. - Nicht erreicht
05.08. - Nicht erreicht
06.08. - Nicht erreicht
07.08. - Nicht erreicht
10.08. - Nicht erreicht
17.08. - Nicht erreicht";"";"";"";"Stefan P�lzig (AWF)";"Contact not reachable";"";""
"Automobil Marketing Kiefer GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"11.09.2026";"Lost Reason: Der H�ndler kann das System nicht verwenden, da er haupts�chlich Exportgesch�fte macht an dem Standort, wo er 90% der angebotenen Funktionen hier nicht nutzen w�rde - gem�� der eigenen Aussage.

Der Opp-Flow hier ist lost, da der Standort bzw. Schwester-Standort in B�hl selbst einen Flow hat, der im Status Signing steht (https://mobilede.lightning.force.com/lightning/r/Account/001b00000046UbAAAU/view) Kontaktdaten unten belasse ich, ggf. passen diese zum neuen Fragebogen. 

09.09.: Dieser Standort hat kein Interesse, da fast nur Export verkauft wird - der andere Standort in B�hl hat Interesse, Kontaktdaten Ansprechpartner  / info@autoforum-buehl.de  /  07223/944260  / Herr Richter. Kl�re ab ob ein neuer Opp-Flow f�r diese notwendig ist, oder nicht

09.09.: Mail raus ob noch Interesse besteht; Deadline 14.09.26

03.09.: HD erneut kontaktiert zwecks Liveschaltung. Da er erst aus den Betriebsferien zur�ckkam w�rde ich hier noch ein wenig Geduld �ben. Im Zweifelsfall Lost falls er auf den n�chsten Kontaktversuch nicht reagiert. RP 03.09.2026 

- Da Betriebsferien anfangen, Live-Schaltung erst Anfang September / Hatte weder Kamera noch Mikro im Meet, deshalb parallel telefoniert, keine Aufnahme gewollt/gew�nscht, da es darin keinen Ton gibt und diese f�r zuk�nftige Trainingszwecke nicht verwendet werden m�sste

- OB geplant f�r kommenden Montag 10.08. um 12:00 Uhr / Daten zur Systemeinrichtung angefragt und angemerkt, dass diese vorab n�tig sind 13847371

Upload Settings: API-User";"";"";"";"Saskia Willmeroth (AWF)";"Solution / Fit";"";""
"der-rollerhof.de - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"03.09.2026";"";"";"Kunde k�ndigt zum Ende des Jahres, wegen Preiserh�hung.";"";"Marco Elsaesser (AWF)";"Previous bad experience / low trust";"";""
"Wagner Autozentrum GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"31.08.2026";"";"";"Kein Interesse an Betreuung/LMP";"";"Marian Leue (AWF)";"Unknown";"";""
"Kaiser Automobile Dresden GmbH - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"01.09.2026";"Wenn HDL am 31.08 nicht geantwortet hat, dann auf lost! EA 28.08
OBM erneuter Kontakt EA 24.08
OBC nicht erreicht EA 24.08
OBM erneuter Kontakt EA 24.08
OBM erneut Terminierung f�rs OnBoarding EA 19.08
OBM Terminierung zum OnBoarding EA 17.08";"";"Frau Kaiser, will sich heute 14.00 Uhr das Webinar ansehen. Ich rufe sie danach an und werde die Aktivierung besprechen.";"Bisher keine R�ckmeldung /weder telefonisch noch schriftlich)";"Egzona Ajeti (AWF)";"Other";"";""
"Autohaus Smit GmbH - Lead Manager Pro";"Inside Account Management 1 (DD Heusenstamm)";"Inside Account Management 1 (DD Heusenstamm)";"08.09.2026";"";"";"am 01.09. mit Herr Neumann gesprochen, kein Interesse an LMS da eigen gestrickte L�sung.";"";"Ralf Landmann (AWF)";"Already have a process/tool";"";""
"Lerch & Huber OHG - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"08.09.2026";"";"";"Kein Interesse an LMP, hat bereits Firmeninternes System, keine n�heren Infos";"";"Marco Elsaesser (AWF)";"Already have a process/tool";"";""
"Abrahams Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"07.08.2026";"";"";"07.08. 12:00: HD erreicht, hat akutes Zeitproblem und daher kein Interesse an einem Lead Management System";"";"Marian Leue (AWF)";"No time / capacity right now";"";""
"T&R Ihr Autohaus GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"11.08.2026";"";"";"29.07.2026 nicht erreicht. 31.07.2026 nicht erreicht. 11.08.2026 hat kein Interesse, m�chte keine weiteren Tools von mobile.de nutzen um nicht noch abh�ngiger zu werden.";"";"Christoph Krausse (AWF)";"Not a priority / low relevance perceived";"";""
"Autohandel Carsten Wendler - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"14.08.2026";"";"";"H�ndler erf�llt nicht die Mindestanforderung an Listings.";"";"Samuel Hoffmann Kather (AWF)";"Not the right person";"";""
"Autohaus K�sters - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"19.08.2026";"";"";"";"M�chte es nicht ist ein Einzelk�mpfer lt. H�ndler die Anfragen sind �berschaubar";"Eren Kaya (AWF)";"Other";"";""
"Katbi Auto Center - Lead Manager Pro";"Customer Service (Avedo)";"SDG managed (DD Heusenstamm)";"27.08.2026";"Lost Reason: M�chte das System nicht verwenden ohne M�glichkeit zur KI-Antwort auf EMails - h�ndisch zu antworten bzw. Vorlagen zu erstellen kostet ihm zu viel Zeit.

- 25.08.:  M�chte nicht live gehen, bevor wir keine KI-Antwort f�r Mails haben (was ich als 'In Bearbeitung ohne Zeitrahmen oder naher Zukunft als M�glichkeit', behandelt habe, nachdem er es ansprach)

- 24.08.: Wieder nicht erreicht, Live-Schaltung ausstehend, war zur ersten nicht erschienen, seitdem keine Antwort

- 21.08.: Erneute Nachfrage zwecks nicht stattgefundener Live-Schaltung

- Live-Schaltung 18.08. 10 Uhr / Stand 10:09 Uhr - H�ndler nicht da, geht nicht ans Telefon, Link zur Live-Schaltung zur Sicherheit noch einmal verschickt

- Onboarding-Link geschickt 13844197

- Daten eingereicht, H�ndler angelegt, jedoch keinen Termin genannt, Termin f�r OB erneut angefragt

Upload Settings: API-User";"";"";"";"Saskia Willmeroth (AWF)";"Effort";"";""
"Autohaus Fair Play GmbH - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"27.07.2026";"21.07. - Herr Stade im KdG
27.07. - Herr Stade erreicht. Habe mit ihm �ber LMP gesprochen. Er meinte das er keine Lust auf zus�tzliche Sachen hat und auch sehr gut alles alleine Managen kann. Er sagte er braucht daf�r kein zentrales LMS.";"";"";"Er meinte das er keine Lust auf zus�tzliche Sachen hat und auch sehr gut alles alleine Managen kann. Er sagte er braucht daf�r kein zentrales LMS.";"Stefan P�lzig (AWF)";"Other";"";""
"Auto-Bogenreuther - Lead Manager Pro";"SDG managed (DD Heusenstamm)";"SDG managed (DD Heusenstamm)";"30.07.2026";"";"";"";"";"Markus Rother (AWF)";"Already have a process/tool";"";""
"Berliner Automobile - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"03.08.2026";"03.08. - Herr Gniewkowski erreicht. Zum LMP aufgekl�rt. Meinte das er kein Interesse hat. Er hat mir keinen Ablehngrund nennen k�nnen au�er das er keine Lust hat auf das ganze. Hat dann auch das Gespr�ch beendet.";"";"";"Konnte mir keinen Grund nennen. Meinte nur er hat keine Lust darauf.";"Stefan P�lzig (AWF)";"Other";"";""
"Car Center-(seit 1981 im Automobilhandel t�tig) - Lead Manager Pro";"SDG managed (CCONE)";"SDG managed (CCONE)";"29.07.2026";"";"";"Hat kein Interesse am LMP, mobee Anrufassistent und Inserats-Analyse. Er brauche es in seinem Ein-Mann-Betrieb nicht und m�chte sich nicht so abh�ngig von mobile.de machen.";"";"Christoph Krausse (AWF)";"Not a priority / low relevance perceived";"";""
